indice,COVID_ID,categoria,min_coord,max_coord,media_coord,desviacion_std,coordenadas_fuera_rango
797,Viral Pneumonia-1331,Viral Pneumonia,14.02,294.33,151.213,83.54215196135023,0
411,COVID-567,COVID,9.34,284.98,146.23000000000002,90.32607227890148,0
0,COVID-269,COVID,42.05,275.64,146.07433333333336,69.48285777481777,0
318,Normal-4005,Normal,37.38,242.94,142.64833333333334,66.00150862333038,0
555,Normal-5217,Normal,9.34,266.3,145.76233333333337,75.81690896202217,0
74,COVID-1066,COVID,4.67,284.98,146.38533333333334,96.90976327606121,0
553,Normal-5207,Normal,23.36,270.97,143.11499999999998,72.34070259312296,0
354,Normal-2267,Normal,18.69,228.92,117.2646666666667,62.53225059830238,0
66,COVID-2023,COVID,60.73,280.31,162.58100000000005,65.99774896918834,0
788,Viral Pneumonia-1272,Viral Pneumonia,23.36,275.64,146.853,84.5310202292626,0
554,Normal-5214,Normal,28.03,266.3,142.33666666666667,73.58894923077031,0
310,Normal-10115,Normal,32.7,294.33,149.96766666666664,85.08531387900553,0
452,Normal-66,Normal,42.05,261.62,145.76233333333337,68.7184791102235,0
181,Viral Pneumonia-425,Viral Pneumonia,32.7,270.97,152.45866666666663,79.389767591436,0
711,Viral Pneumonia-439,Viral Pneumonia,28.03,266.3,148.87666666666667,75.7241588192889,0
610,Normal-8180,Normal,32.7,252.28,145.6076666666667,71.3553166756962,0
159,Normal-2306,Normal,32.7,238.27,141.0896666666667,68.69841985001466,0
608,Normal-8140,Normal,28.03,266.3,144.98466666666664,78.14221627832737,0
161,Normal-6797,Normal,37.38,266.3,151.68033333333335,75.73233679582029,0
575,Normal-6343,Normal,42.05,275.64,146.38566666666665,74.4993397591922,0
389,COVID-1751,COVID,9.34,270.97,140.93433333333334,72.82886399788357,0
664,Normal-10097,Normal,18.69,266.3,140.46866666666665,79.72141998791096,0
785,Viral Pneumonia-1234,Viral Pneumonia,28.03,275.64,151.99133333333336,74.15193855561401,0
13,COVID-855,COVID,14.02,252.28,122.09166666666668,68.65865121907233,0
517,Normal-3566,Normal,32.7,275.64,150.12333333333333,79.30867427687564,0
541,Normal-4576,Normal,42.05,280.31,154.95033333333336,74.90643846307353,0
364,COVID-477,COVID,51.39,247.61,140.001,53.39711124208875,0
579,Normal-6742,Normal,28.03,280.31,150.59033333333335,76.07741870328906,0
92,Normal-7712,Normal,28.03,280.31,137.35366666666667,75.9724758704683,0
125,Normal-8352,Normal,37.38,247.61,135.79566666666668,66.22321071866638,0
114,Normal-7293,Normal,28.03,280.31,153.23700000000002,75.32593263721776,0
698,Viral Pneumonia-265,Viral Pneumonia,18.69,284.98,146.38500000000005,83.6889160223742,0
581,Normal-6774,Normal,46.72,261.62,152.76899999999995,75.79407863195296,0
483,Normal-1675,Normal,37.38,275.64,149.189,72.906176526181,0
702,Viral Pneumonia-328,Viral Pneumonia,9.34,294.33,150.27933333333334,88.57747982918056,0
786,Viral Pneumonia-1253,Viral Pneumonia,32.7,247.61,144.205,67.46274926456327,0
247,Normal-7156,Normal,37.38,270.97,139.534,68.59489507730635,0
